파고, 182, 64
차타, 156, 82
노너, 176, 44
자마, 160, 47
누라, 154, 77
카카, 169, 80
니가, 169, 75
거차, 183, 45
차나, 177, 51
하누, 175, 51
아하, 163, 42
차카, 152, 74
누하, 179, 61
아바, 189, 69
너고, 188, 48
누거, 165, 82
자기, 163, 78
카자, 155, 92
가구, 186, 63
노마, 160, 59
바라, 168, 79
사구, 179, 84
파구, 151, 56
구다, 171, 56
바하, 172, 67
아너, 176, 55
사나, 177, 76
파하, 184, 73
아카, 189, 57
사기, 163, 51
타너, 180, 86
고사, 174, 42
마기, 158, 88
고사, 158, 93
사바, 189, 71
라차, 174, 92
너파, 173, 59
고니, 167, 40
하누, 175, 81
사카, 152, 92
다카, 166, 67
바거, 160, 54
구너, 164, 98
마거, 180, 56
카나, 150, 87
마고, 151, 88
타거, 165, 47
바바, 175, 72
파하, 182, 48
카파, 182, 87
하사, 173, 80
파라, 162, 69
타타, 156, 46
사카, 158, 47
아너, 166, 90
니파, 171, 86
가하, 181, 68
나누, 155, 59
마마, 168, 45
니하, 162, 94
거하, 151, 97
거파, 179, 75
자타, 185, 87
마파, 174, 42
타다, 169, 47
마고, 151, 46
마파, 163, 96
바누, 180, 91
다라, 154, 92
다파, 173, 59
차고, 167, 86
나하, 167, 46
가사, 162, 80
카마, 188, 60
가자, 160, 98
마거, 179, 47
가타, 150, 46
자사, 180, 69
사차, 166, 78
자기, 173, 99
거타, 165, 63
자바, 183, 66
하나, 189, 64
파가, 151, 71
가기, 178, 85
자라, 160, 64
누고, 176, 75
구자, 156, 90
사하, 164, 77
자하, 157, 41
자파, 178, 96
기기, 169, 49
하다, 167, 91
다니, 183, 56
타자, 173, 87
타카, 183, 62
라아, 186, 57
다기, 178, 45
나사, 181, 46
라하, 178, 61
가노, 187, 93
카노, 162, 82
고차, 171, 57
하마, 176, 91
아사, 157, 75
아하, 151, 76
거마, 151, 91
가마, 172, 75
바노, 156, 45
자구, 172, 74
자사, 174, 92
마사, 188, 79
파구, 181, 49
